Band_code,Band_num,WL_code,WL_num,Pval_cat,nSIM,K_obs,K_pval,K_sim_mean,K_sim_SD,K_sim_SES,K_BM_pval,K_BM_mean,K_BM_SD,K_BM_SES,species,extra_y,Blomberg's K
band270_1729nm,band270,1729nm,1729,diff,1000,0.14490228101425026,0.001,0.03704774840328678,0.01192640746988344,9.043337893939787,0.00299700299700299,0.9820148761118384,0.7199961793387852,-1.1626625517184797,diff,0.15,0.14490228101425026
band271_1734nm,band271,1734nm,1734,diff,1000,0.141497197446529,0.001,0.03708796470036382,0.01242458250226703,8.403439932658845,0.00199800199800199,1.032196660206368,0.8260392318684036,-1.0782774333189742,diff,0.15,0.141497197446529
band272_1739nm,band272,1739nm,1739,diff,1000,0.13663531708803614,0.001,0.036997731106301,0.01221174349887689,8.159161383540257,9.99000999000999e-4,1.028043754886047,0.73454176086286,-1.213557193468321,diff,0.15,0.13663531708803614
band273_1744nm,band273,1744nm,1744,diff,1000,0.13659923787877334,0.001,0.03721751457998062,0.01292622446797545,7.688379816164385,9.99000999000999e-4,0.9920591491925584,0.7176462787578027,-1.1920355983654347,diff,0.15,0.13659923787877334
band274_1749nm,band274,1749nm,1749,diff,1000,0.13338825302805224,0.001,0.03761288928362676,0.01302011625304574,7.355953040897089,9.99000999000999e-4,0.9786949903849924,0.6887506945513878,-1.2273043701357336,diff,0.15,0.13338825302805224
band275_1754nm,band275,1754nm,1754,diff,1000,0.13172839772223602,0.001,0.03705255894983956,0.01317964799723137,7.183487661604077,9.99000999000999e-4,0.9783270355958448,0.733011037327893,-1.1549602867642843,diff,0.15,0.13172839772223602
band276_1759nm,band276,1759nm,1759,diff,1000,0.12764434756005424,0.001,0.0375472343873323,0.0127725040614469,7.05398978456191,9.99000999000999e-4,0.9829657124594544,0.7685583448902555,-1.1128906095236446,diff,0.15,0.12764434756005424
band277_1764nm,band277,1764nm,1764,diff,1000,0.12219711717532944,0.002,0.0380781250133755,0.01382370225583291,6.085127602228259,9.99000999000999e-4,0.98600979885092,0.7482091190474418,-1.154507021747243,diff,0.15,0.12219711717532944
band278_1769nm,band278,1769nm,1769,diff,1000,0.1135476800330687,0.001,0.038253172965164,0.01462797254775969,5.1472961698602715,9.99000999000999e-4,1.0228147273122337,0.7573157523966229,-1.200644571833707,diff,0.15,0.1135476800330687
band279_1774nm,band279,1774nm,1774,diff,1000,0.1099312413756682,0.002,0.03772479761117687,0.0141616718247806,5.0987231350850735,9.99000999000999e-4,1.0066109844835354,0.7349538357305266,-1.2200490690909709,diff,0.15,0.1099312413756682
band280_1779nm,band280,1779nm,1779,diff,1000,0.10246139969939544,0.005,0.0387621927758941,0.01495249968161325,4.2601042153393776,9.99000999000999e-4,0.9702118899209128,0.6691216912580894,-1.296850037233084,diff,0.15,0.10246139969939544
